,source,target,value
0,france,panama,1
1,france,russia,7
2,germany,russia,9
3,bulgaria,germany,1
4,bulgaria,russia,1
5,germany,italy,37
6,austria,germany,4
7,germany,spain,2
8,france,spain,2
9,france,poland,10
10,france,germany,22
11,germany,poland,20
12,estonia,germany,3
13,estonia,latvia,3
14,latvia,lithuania,3
15,finland,lithuania,3
16,finland,germany,3
17,netherlands,poland,3
18,luxembourg,netherlands,3
19,belgium,luxembourg,3
20,belgium,norway,3
21,germany,norway,3
22,france,italy,14
23,albania,germany,4
24,albania,libya,5
25,egypt,libya,15
26,egypt,iraq,5
27,iraq,japan,5
28,germany,japan,34
29,japan,russia,23
30,germany,morocco,5
31,italy,morocco,5
32,france,netherlands,12
33,japan,thailand,6
34,singapore,thailand,6
35,japan,singapore,6
36,japan,solomon islands,12
37,india,japan,18
38,japan,poland,5
39,france,india,6
40,india,pakistan,18
41,israel,pakistan,6
42,israel,south africa,12
43,israel,libya,6
44,iran,libya,12
45,germany,iran,11
46,france,japan,6
47,cambodia,pakistan,6
48,cambodia,kenya,6
49,ghana,kenya,6
50,albania,ghana,5
51,albania,bulgaria,6
52,bulgaria,poland,6
53,poland,romania,6
54,hungary,romania,6
55,hungary,mongolia,6
56,cuba,mongolia,6
57,canada,cuba,6
58,australia,canada,6
59,australia,cambodia,6
60,cambodia,cuba,6
61,cuba,united states,6
62,russia,united states,6
63,india,russia,3
64,poland,russia,6
65,finland,russia,6
66,finland,france,4
67,italy,japan,6
68,israel,japan,2
69,germany,india,5
70,pakistan,russia,3
71,russia,vietnam,4
72,india,lebanon,2
